musica,artista,ano de lancamento,nome completo
Radioactive,Imagine Dragons,2012,Radioactive by Imagine Dragons
Good Vibrations,The Beach Boys,1966,Good Vibrations by The Beach Boys
A Day In The Life,The Beatles,1967,A Day In The Life by The Beatles
Message In A Bottle,The Police,1979,Message In A Bottle by The Police
Seven Nation Army,The White Stripes,2003,Seven Nation Army by The White Stripes
I Wanna Be Sedated,The Ramones,1978,I Wanna Be Sedated by The Ramones
Lonely Boy,The Black Keys,2011,Lonely Boy by The Black Keys
Enter Sandman,Metallica,1991,Enter Sandman by Metallica
Boulevard Of Broken Dreams,Green Day,2004,Boulevard Of Broken Dreams by Green Day
